City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C),Max Temp (F)
38,maryborough,-25.5333,152.7,299.32,70,21,4.66,AU,1707725646,26.170000000000016,79.10600000000002
39,talodi,10.6325,30.3797,306.64,8,92,3.92,SD,1707725647,33.49000000000001,92.28200000000001
40,sechura,-5.5569,-80.8222,298.77,72,23,5.2,PE,1707725648,25.620000000000005,78.11600000000001
41,edson,53.5835,-116.4356,269.28,95,100,0.59,CA,1707725405,-3.8700000000000045,25.033999999999992
42,tura,25.5198,90.2201,300.37,19,0,2.73,IN,1707725649,27.220000000000027,80.99600000000005
43,ribeira grande,38.5167,-28.7,290.37,82,75,10.8,PT,1707725649,17.220000000000027,62.99600000000005
44,ke-macina,13.9623,-5.3572,297.35,9,1,3.74,ML,1707725650,24.200000000000045,75.56000000000009
45,vorgashor,67.5833,63.95,240.67,100,99,0.75,RU,1707725651,-32.47999999999999,-26.463999999999984
46,edinburgh of the seven seas,-37.0676,-12.3116,290.04,69,39,8.26,SH,1707725651,16.890000000000043,62.40200000000008
47,kruisfontein,-34.0033,24.7314,301.42,23,0,4.35,ZA,1707725362,28.27000000000004,82.88600000000007
48,st. john's,47.5649,-52.7093,274.35,93,100,2.24,CA,1707725370,1.2000000000000455,34.16000000000008
49,boa vista,2.8197,-60.6733,299.14,65,0,6.69,BR,1707725653,25.99000000000001,78.78200000000001
50,sitka,57.0531,-135.33,280.09,81,100,6.17,US,1707725654,6.939999999999998,44.492
51,enewetak,11.3474,162.3373,299.62,77,98,9.97,MH,1707725654,26.470000000000027,79.64600000000004
52,newman,37.3138,-121.0208,279.4,90,31,0.89,US,1707725655,6.25,43.25
53,nguigmi,14.2495,13.1092,297.7,16,0,4.12,NE,1707725656,24.55000000000001,76.19000000000003
54,casper,42.8666,-106.3131,273.07,51,20,6.71,US,1707725656,-0.07999999999998408,31.85600000000003
55,baglung,28.2719,83.5898,294.43,19,1,4.31,NP,1707725657,21.28000000000003,70.30400000000006
56,tindouf,27.6711,-8.1474,287.4,30,1,2.57,DZ,1707725657,14.25,57.65
57,lucas,41.6501,-83.6666,272.13,88,0,0.0,US,1707725658,-1.0199999999999818,30.164000000000033
58,lebu,-37.6167,-73.65,286.91,84,6,11.13,CL,1707725659,13.760000000000048,56.768000000000086
59,vila franca do campo,37.7167,-25.4333,291.42,99,100,8.49,PT,1707725660,18.27000000000004,64.88600000000007
60,kailua-kona,19.6406,-155.9956,295.13,83,75,2.57,US,1707725660,21.980000000000018,71.56400000000004
61,vondrozo,-22.8167,47.2833,298.34,78,100,2.55,MG,1707725661,25.189999999999998,77.342
62,nova sintra,14.8667,-24.7167,292.87,79,9,7.09,CV,1707725662,19.720000000000027,67.49600000000005
63,avarua,-21.2078,-159.775,299.18,73,57,2.57,CK,1707725479,26.03000000000003,78.85400000000006
